time,cellv,dt,soc,soe,soet
1e-06,-0.021362331051717,1e-06,0.5,0.087489099844343,0.087489099894315
2e-06,0.021951936405222,1e-06,0.5,0.087489100499787,0.087489100339336
3e-06,2.3521989123495,1e-06,0.5,0.087489103307311,0.087489102245534
3.5e-06,2.6955846668166,5e-07,0.5,0.087489104252357,0.087489102887183
3.75e-06,2.6955846668166,2.5e-07,0.5,0.087489104252357,0.087489102887183
4.025e-06,2.6955846668166,2.75e-07,0.5,0.087489104252357,0.087489102887183
4.3275e-06,2.6955846668166,3.025e-07,0.5,0.087489104252357,0.087489102887183
4.66025e-06,2.6955846668166,3.3275e-07,0.5,0.087489104252357,0.087489102887183
5.026275e-06,2.6955846668166,3.66025e-07,0.5,0.087489104252357,0.087489102887183
5.4289025e-06,2.6955846668166,4.026275e-07,0.5,0.087489104252357,0.087489102887183
5.87179275e-06,2.6955846668166,4.4289025e-07,0.5,0.087489104252357,0.087489102887183
6.358972025e-06,2.6955846668166,4.87179275e-07,0.5,0.087489104252357,0.087489102887183
6.8948692275e-06,2.6955846668166,5.358972025e-07,0.5,0.087489104252357,0.087489102887183
7.48435615025e-06,2.6955846668166,5.8948692275e-07,0.5,0.087489104252357,0.087489102887183
8.132791765275e-06,2.6955846668166,6.48435615025e-07,0.5,0.087489104252357,0.087489102887183
8.8460709418025e-06,2.6955846668166,7.132791765275e-07,0.5,0.087489104252357,0.087489102887183
9.6306780359828e-06,2.6955846668166,7.8460709418025e-07,0.5,0.087489104252357,0.087489102887183
1.0493745839581e-05,2.6955846668166,8.6306780359828e-07,0.5,0.087489104252357,0.087489102887183
1.1443120423539e-05,2.6955846668166,9.493745839581e-07,0.5,0.087489104252357,0.087489102887183
1.2487432465893e-05,2.6955846668166,1.0443120423539e-06,0.5,0.087489104252357,0.087489102887183
1.3636175712482e-05,2.6955846668166,1.1487432465893e-06,0.5,0.087489104252357,0.087489102887183
1.4899793283731e-05,2.6955846668166,1.2636175712482e-06,0.5,0.087489104252357,0.087489102887183
1.6289772612104e-05,2.6955846668166,1.3899793283731e-06,0.5,0.087489104252357,0.087489102887183
1.7818749873314e-05,2.6955846668166,1.5289772612104e-06,0.5,0.087489104252357,0.087489102887183
1.9500624860645e-05,2.6955846668166,1.6818749873314e-06,0.5,0.087489104252357,0.087489102887183
2.135068734671e-05,2.6955846668166,1.8500624860645e-06,0.5,0.087489104252357,0.087489102887183
2.3385756081381e-05,2.6955846668166,2.035068734671e-06,0.5,0.087489104252357,0.087489102887183
2.5624331689519e-05,2.6955846668166,2.2385756081381e-06,0.5,0.087489104252357,0.087489102887183
2.8086764858471e-05,2.6955846668166,2.4624331689519e-06,0.5,0.087489104252357,0.087489102887183
3.0795441344318e-05,2.6955846668166,2.7086764858471e-06,0.5,0.087489104252357,0.087489102887183
3.377498547875e-05,2.6955846668166,2.9795441344318e-06,0.5,0.087489104252357,0.087489102887183
3.7052484026625e-05,2.6955846668166,3.277498547875e-06,0.5,0.087489104252357,0.087489102887183
4.0657732429287e-05,2.6955846668166,3.6052484026625e-06,0.5,0.087489104252357,0.087489102887183
